岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
增长营销数据分析师,北京·海淀区·双榆树,30-60K,经验不限,本科,北京字节跳动,"['Python', 'SQL', 'Excel', 'Tableau', '数据分析师']",股票期权，带薪年假，节日福利，零食下午茶，年终奖，五险一金，住房补贴，免费健身房，嘀嘀打车，定期体检，加班补助，补充医疗保险，餐补,移动互联网,D轮及以上,10000人以上
数据分析师,北京·海淀区·清河,25-35K,5-10年,本科,一亩田,"['数据分析', 'SQL', 'Excel']",五险一金，全勤奖，住房补贴，节日福利，定期体检，补充医疗保险，股票期权，零食下午茶，年终奖，带薪年假，交通补助,O2,C轮,500-999人
数据分析师,北京·海淀区·清河,14-15K,3-5年,本科,小米,"['SQL', '大数据', '商业智能', '物联网', '数据分析']",定期体检，年终奖，五险一金，餐补，节日福利，股票期权，补充医疗保险，12%公积金，带薪年假,互联网,已上市,10000人以上
数据分析师,北京·海淀区·五道口,15-30K,1-3年,本科,紫光教育科技,['数据分析'],节日福利，定期体检，年终奖，包吃，带薪年假，五险一金,计算机软件,未融资,100-499人
数据分析师,北京·海淀区·双榆树,25-45K,3-5年,本科,腾讯,"['数据分析', '数据仓库', '数据开发', 'SQL', 'BI']",餐补，免费早晚餐，员工旅游，住房补贴，股票期权，公仔周边活动，免费健身房，包吃，零食下午茶，交通补助，免费班车，带薪年假，五险一金，定期体检，补充医疗保险，年终奖，节日福利,互联网,不需要融资,10000人以上
数据分析师,北京·海淀区·海淀北部新区,20-40K,3-5年,本科,华为,"['数据分析', 'MySQL', '数据挖掘']",定期体检，年终奖，零食下午茶，加班补助，补充医疗保险，股票期权，员工旅游，餐补，节日福利，五险一金,计算机软件,不需要融资,10000人以上
数据分析师,北京·海淀区·白石桥,14-28K,1-3年,硕士,玖天气象,"['数据分析', '数据挖掘', '人工智能']",五险一金，定期团建，定期体检，补充医疗保险，年终奖，停车免费，带薪年假，健身房，节日福利，餐补,计算机软件,未融资,20-99人
数据分析师,北京·海淀区·上地,8-12K,1-3年,本科,中晟信达,"['数据分析', '数据挖掘', 'SQL', 'Python', 'Java', 'SPSS']",带薪年假，五险一金，节日福利，年终奖,信息安全,不需要融资,0-20人
高级数据分析师,北京·海淀区·上地,25-50K,5-10年,本科,福佑卡车,"['数据分析', 'SQL', 'Python', '商业智能', '数据挖掘']",培训学习，零食下午茶，七险一金，员工旅游，补充医疗保险，节日福利，年终奖，五险一金，带薪年假，定期体检，全勤奖,互联网,D轮及以上,500-999人
数据分析师,北京·海淀区·中关村,10-15K,1-3年,本科,北京百世百诚教育,"['Python', '多元统计分析', '相关分析', 'Pandas', 'NumPy']",定期体检，节日福利，年终奖，零食下午茶，全勤奖，五险一金，带薪年假,培训机构,不需要融资,20-99人
数据分析师,北京·海淀区·上地,8-13K,经验不限,本科,国印科技,"['Python', 'R', '数据建模', 'SAS', 'SPSS']",,计算机软件,未融资,20-99人
高级数据分析师,北京·海淀区·中关村,25-40K,经验不限,本科,微财,"['SQL', 'Tableau']",定期体检，全勤奖，补充医疗保险，节日福利，零食下午茶，加班补助，五险一金，年终奖，带薪年假，餐补,互联网,不需要融资,500-999人
来源成因数据分析师,北京·海淀区·五道口,10-15K,经验不限,硕士,美科环境,"['环境科学、环境工程', '大气科学、气象学']",特色团建，年终奖，定期体检，商业保险，五险一金，职称奖金，全勤奖，零食下午茶，节日福利，带薪年假,环保,未融资,100-499人
管理数据分析师-试用期全额,北京·海淀区·厂洼,12-20K,经验不限,硕士,麦可思数据科技,"['Excel', '描述统计', '产品', '设计优化', '社会学']",通讯补贴，定期体检，零食下午茶，节日福利，带薪年假，餐补，五险一金，年终奖，交通补助,数据服务,未融资,100-499人
数据分析师,北京·海淀区·西北旺,20-40K,3-5年,本科,度小满,['Excel'],免费班车，全勤奖，定期体检，带薪年假，零食下午茶，加班补助，股票期权，五险一金，交通补助，年终奖，节日福利，补充医疗保险，员工旅游，餐补,互联网,A轮,1000-9999人
数据分析师,北京·海淀区·上地,35-50K,3-5年,本科,快手,"['数据分析', '数据挖掘', 'Python', 'R语言', 'R', 'Tableau']",节日福利，带薪年假，年终奖，补充医疗保险，股票期权，定期体检，五险一金,社交网络,已上市,10000人以上
数据分析师,北京·海淀区·上地,15-20K,3-5年,本科,开课吧,"['Python', 'SQL', 'Hive', 'Excel', 'Tableau', 'NumPy']",节日福利，员工旅游，股票期权，免费班车，年终奖，定期体检，带薪年假，五险一金,互联网,B轮,1000-9999人
数据分析师,北京·海淀区·上地,20-30K,1-3年,本科,微博,"['SQL', 'Python', 'Excel']",带薪年假，餐补，定期体检，五险一金，免费班车，节日福利，补充医疗保险，年终奖,互联网,已上市,1000-9999人
数据分析师,北京·海淀区·紫竹桥,20-30K,3-5年,本科,易车,"['SQL', '业务分析', '经营分析', '用户画像']",通讯补贴，年终奖，交通补助，补充医疗保险，免费班车，带薪年假，定期体检，五险一金，补充商业保险,互联网,已上市,1000-9999人
数据分析师,北京·海淀区·上地,30-50K,3-5年,本科,茄子科技,['Python'],补充医疗保险，餐补，定期体检，包吃，节日福利，年终奖，带薪年假，交通补助，零食下午茶，五险一金,互联网,C轮,500-999人
数据分析师-商业方向,北京·海淀区·牡丹园,20-40K,5-10年,本科,北京字节跳动,"['数据分析', '商业化数据分析']",股票期权，嘀嘀打车，零食下午茶，补充医疗保险，带薪年假，免费健身房，定期体检，年终奖，五险一金，餐补，加班补助，节日福利，住房补贴,移动互联网,D轮及以上,10000人以上
高级数据分析师,北京·海淀区·牡丹园,20-40K,3-5年,本科,伴鱼,"['Python', 'SQL', 'Hadoop']",带薪年假，节日福利，住房补贴，零食下午茶，交通补助，股票期权，五险一金，补充医疗保险，季度团建，年终奖，定期体检,移动互联网,C轮,1000-9999人
数据分析师,北京·海淀区·上地,20-30K,1-3年,本科,滴滴,"['数据分析', '数据挖掘', '数据仓库', 'SQL', 'Python']",五险一金，定期体检，补充医疗保险,移动互联网,D轮及以上,1000-9999人
数据分析师,北京·海淀区·西北旺,20-40K,5-10年,本科,百度,"['BI', 'SQL', 'SaaS', '数据策略', '数据分析', 'OKR']",加班补助，免费班车，带薪年假，娱乐健身，年终奖，零食下午茶，补充医疗保险，员工旅游，餐补，节日福利，住房补贴，定期体检，通讯补贴，交通补助，五险一金,互联网,已上市,10000人以上
资深数据分析师,北京·海淀区·回龙观,25-50K,5-10年,硕士,滴滴出行,"['数据分析', '数据挖掘', '量化分析', '用户体验', '建模']",股票期权，交通补助，年终奖，五险一金，节日福利，零食下午茶，免费班车，定期体检，带薪年假，补充医疗保险,移动互联网,D轮及以上,1000-9999人
数据分析师,北京·海淀区·中关村,20-30K,3-5年,本科,今日头条,"['Python', 'SQL', 'Tableau', 'Power BI']",补充医疗保险，员工旅游，零食下午茶，加班补助，通讯补贴，股票期权，带薪年假，包吃，年终奖，定期体检，节日福利，免费班车，交通补助，住房补贴,移动互联网,D轮及以上,10000人以上
数据分析师（运营分析方向）,北京·海淀区·中关村,40-60K,3-5年,本科,今日头条,"['SQL', 'Python']",住房补贴，年终奖，带薪年假，交通补助，免费班车，定期体检，节日福利，通讯补贴，包吃，员工旅游，零食下午茶，加班补助，股票期权，补充医疗保险,移动互联网,D轮及以上,10000人以上
数据分析师,北京·海淀区·清河,20-40K,3-5年,本科,小米,"['SQL', 'Python', 'Shell', 'Hadoop', 'Spark']",12%公积金，补充医疗保险，股票期权，定期体检，五险一金，节日福利，餐补，年终奖，带薪年假,互联网,已上市,10000人以上
高级数据分析师,北京·海淀区·中关村,25-50K,3-5年,本科,好未来,"['SQL', 'Excel', 'Hive', '用户']",购房福利，全勤奖，商业保险，定期体检，带薪年假，餐补，补充医疗保险，节日福利，五险一金，不定期培训，年终奖,互联网,已上市,10000人以上
数据分析师,北京·海淀区·西二旗,25-50K,3-5年,本科,快手,"['数据分析', '商业分析', 'SQL', 'Python', 'R语言']",股票期权，五险一金，带薪年假，补充医疗保险，节日福利，定期体检，年终奖,社交网络,已上市,10000人以上
字节跳动资深数据分析师,北京·海淀区·皂君庙,20-40K,1-3年,本科,今日头条,"['Excel', 'Tableau', 'Python']",交通补助，零食下午茶，免费班车，带薪年假，包吃，补充医疗保险，年终奖，加班补助，住房补贴，员工旅游，定期体检，节日福利，股票期权，通讯补贴,移动互联网,D轮及以上,10000人以上
高级数据分析师,北京·海淀区·清河,22-40K,3-5年,本科,快手,"['数据挖掘', '商业分析', '数据分析', 'ETL', 'SQL']",节日福利，股票期权，带薪年假，定期体检，年终奖，补充医疗保险，五险一金,社交网络,已上市,10000人以上
数据分析师,北京·海淀区·回龙观,20-40K,经验不限,硕士,滴滴,"['Python', 'Excel', 'SQL']",定期体检，五险一金，补充医疗保险,移动互联网,D轮及以上,1000-9999人
数据分析师,北京·海淀区·双榆树,30-60K,1-3年,本科,北京字节跳动,['SQL'],零食下午茶，加班补助，带薪年假，股票期权，五险一金，住房补贴，补充医疗保险，节日福利，定期体检，餐补，免费健身房，年终奖，嘀嘀打车,移动互联网,D轮及以上,10000人以上
百度APP业务部_数据分析师,北京·海淀区·上地,15-25K,3-5年,本科,百度,"['Excel', 'SQL']",年终奖，员工旅游，餐补，零食下午茶，免费班车，补充医疗保险，五险一金，交通补助，节日福利，住房补贴，加班补助，娱乐健身，定期体检，通讯补贴，带薪年假,互联网,已上市,10000人以上
数据分析师-今日头条/西瓜视频/番茄小说,北京·海淀区·知春路,20-40K,在校/应届,学历不限,今日头条,['方差分析'],交通补助，员工旅游，年终奖，带薪年假，零食下午茶，免费班车，定期体检，股票期权，包吃，住房补贴，补充医疗保险，通讯补贴，节日福利，加班补助,移动互联网,D轮及以上,10000人以上
商业化数据分析师,北京·海淀区·西二旗,15-30K,1-3年,本科,快手,"['数据分析', 'SQL', 'Python', 'SPSS', '数据挖掘']",定期体检，股票期权，带薪年假，补充医疗保险，节日福利，年终奖，五险一金,社交网络,已上市,10000人以上
中高级数据分析师,北京·海淀区·双安,30-50K,3-5年,本科,北京字节跳动,"['SQL', '回归分析']",节日福利，年终奖，带薪年假，免费健身房，加班补助，股票期权，五险一金，零食下午茶，住房补贴，补充医疗保险，嘀嘀打车，餐补，定期体检,移动互联网,D轮及以上,10000人以上
数据分析师,北京·海淀区·西北旺,20-25K,3-5年,本科,百度,"['Python', 'Excel', 'SQL']",交通补助，节日福利，免费班车，五险一金，加班补助，员工旅游，零食下午茶，补充医疗保险，住房补贴，带薪年假，娱乐健身，餐补，通讯补贴，年终奖，定期体检,互联网,已上市,10000人以上
数据分析师,北京·海淀区·西二旗,6-7K,经验不限,本科,快手,"['Python', 'SQL', '描述统计']",补充医疗保险，节日福利，股票期权，定期体检，五险一金，带薪年假，年终奖,社交网络,已上市,10000人以上
数据分析师,北京·海淀区·回龙观,22-40K,3-5年,本科,滴滴,"['Python', 'R', 'Tableau', 'SQL']",五险一金，补充医疗保险，定期体检,移动互联网,D轮及以上,1000-9999人
高级数据分析师-电商方向,北京·海淀区·双榆树,20-40K,经验不限,本科,北京字节跳动,['SQL'],住房补贴，五险一金，补充医疗保险，免费健身房，年终奖，带薪年假，餐补，股票期权，节日福利，定期体检，嘀嘀打车，零食下午茶，加班补助,移动互联网,D轮及以上,10000人以上
数据分析师,北京·海淀区·西北旺,20-40K,3-5年,本科,百度,"['Python', 'SQL', 'Shell', 'Tableau']",餐补，零食下午茶，住房补贴，娱乐健身，员工旅游，通讯补贴，年终奖，加班补助，五险一金，带薪年假，定期体检，节日福利，免费班车，补充医疗保险，交通补助,互联网,已上市,10000人以上
数据分析师,北京·海淀区·西三旗,30-60K,经验不限,本科,快手,"['SQL', 'Python', 'Excel', 'BI']",五险一金，带薪年假，年终奖，定期体检，补充医疗保险，股票期权，节日福利,社交网络,已上市,10000人以上
数据分析师,北京·朝阳区·太阳宫,20-40K,1-3年,本科,BOSS直聘,"['Python', 'SQL', 'R', '数据分析']",定期体检，交通补助，加班补助，员工旅游，五险一金，年终奖，餐补，补充医疗保险，节日福利，带薪年假，住房补贴，股票期权,人力资源服务,已上市,1000-9999人
数据分析师,北京·朝阳区·望京,12-16K,1-3年,本科,狮桥集团,"['Python', '数据分析', '金融', '数据运营']",员工旅游，定期体检，五险一金，节日福利，带薪年假,投资/融资,D轮及以上,1000-9999人
数据分析师,北京·朝阳区·三元桥,15-25K,1-3年,本科,国美控股集团,"['数据分析', '商业分析', 'SQL', 'BI', 'Excel', 'hive']",五险一金，员工旅游，年终奖，定期体检，带薪年假，餐补，通讯补贴，节日福利，加班补助,互联网,不需要融资,10000人以上
数据分析师,北京·朝阳区·望京,10-20K,经验不限,本科,两只老虎,"['数据分析', '数据处理', '数据挖掘']",,互联网,未融资,100-499人
数据分析师,北京·朝阳区·鸟巢,15-25K,3-5年,本科,今日头条,"['Python', 'Excel', 'SQL', 'Power BI', '数据分析']",零食下午茶，住房补贴，通讯补贴，年终奖，交通补助，包吃，补充医疗保险，加班补助，定期体检，员工旅游，带薪年假，股票期权，免费班车，节日福利,移动互联网,D轮及以上,10000人以上
数据分析师,北京·朝阳区·团结湖,6-10K,经验不限,大专,财新租赁,"['数据分析', 'excel', '函数']",五险一金，定期体检,移动互联网,不需要融资,100-499人
数据分析师,北京·朝阳区·酒仙桥,25-45K,3-5年,本科,Paytm First Games,"['数据库', '数据分析']",弹性工作时间，年终奖，带薪年假，节日福利，五险一金，员工旅游，补充医疗保险，零食下午茶,游戏,未融资,100-499人
数据分析师,北京·朝阳区·立水桥,20-30K,3-5年,本科,闪电快车,"['SQL', 'Python', '数据分析', '数据监控', '数据仓库']",年终奖，补充医疗保险，节日福利，五险一金，股票期权，零食下午茶，带薪年假,互联网,D轮及以上,10000人以上
数据分析师,北京·朝阳区·常营,11-22K,1-3年,本科,乐我无限,"['SQL', '数据分析', '社交娱乐', 'Excel']",餐补，零食下午茶，五险一金，补充医疗保险，年终奖，带薪年假，定期体检，节日福利，股票期权,计算机软件,B轮,500-999人
数据分析师,北京·朝阳区·来广营,15-20K,3-5年,本科,一零跃动,"['Python', '消费金融', '数据挖掘', '数据分析']",节日福利，五险一金，定期体检，年终奖，补充医疗保险，员工旅游，零食下午茶，带薪年假，餐补,互联网,不需要融资,1000-9999人
数据分析师,北京·朝阳区·鸟巢,20-25K,经验不限,本科,元保数科,"['SQL', '数据分析', '财务分析', 'tableau', 'powerbi']",股票期权，年终奖，五险一金，餐补，带薪年假，节日福利，交通补助,医疗健康,C轮,500-999人
数据分析师,北京·朝阳区·四惠,10-15K,1-3年,本科,邦邦汽服,"['数据分析', '数据挖掘', 'Python', 'R', 'SPSS', 'Excel']",补充医疗保险，节日福利，零食下午茶，年终奖，定期体检，餐补，五险一金，带薪年假,4S店/后市场,天使轮,100-499人
数据分析师,北京·朝阳区·朝外,1-2K,经验不限,本科,恒大车时代,"['商业分析', '数据分析', '数据挖掘']",,O2,A轮,20-99人
数据分析师,北京·朝阳区·亚运村,8-10K,1-3年,本科,长城战略咨询,"['数据分析', '需求分析', '产品设计']",节日福利，五险一金，年终奖，餐补，带薪年假，零食下午茶，地区补贴，定期体检，人才津贴,咨询,不需要融资,500-999人
数据分析师,北京·朝阳区·三元桥,15-25K,3-5年,本科,大搜车,"['Python', '统计', '数据分析']",带薪年假，定期体检，住房补贴，年终奖，五险一金，交通补助，节日福利，补充医疗保险，员工旅游,互联网,D轮及以上,1000-9999人
行业数据分析师,北京·朝阳区·建国门内,20-40K,3-5年,本科,嘉实基金,"['SQL', '数据库', '行业研究', '投研', '数据分析']",员工旅游，年终奖，公司自营食堂，定期体检，办公环境好，餐补，节日福利，免费健身房，补充医疗保险，带薪年假，五险一金，通讯补贴,互联网金融,不需要融资,1000-9999人
数据分析师-电商,北京·朝阳区·CBD,8-13K,1-3年,大专,北京竞秀科技有限...,"['数坊', '九数', '表格处理', '数据分析']",员工旅游，零食下午茶，交通补助，年终奖，餐补，带薪年假，节日福利，五险一金,广告营销,不需要融资,20-99人
数据分析师,北京·朝阳区·望京,7-11K,1-3年,本科,云合数据,['数据分析'],餐补，带薪年假，员工旅游，年终奖，五险一金,移动互联网,A轮,20-99人
数据分析师,北京·朝阳区·百子湾,4-8K,1年以内,本科,黑火地产,"['数据分析', '数据处理', '运维开发']",,地产经纪/中介,不需要融资,20-99人
风险数据分析师（正式）,北京·朝阳区·鸟巢,8-13K,1-3年,本科,拓尔思,"['大数据', '金融风控', '运营体系', '风控策略', '数据分析']",带薪年假，零食下午茶，节日福利，通讯补贴，餐补，年终奖，定期体检，五险一金，交通补助，补充医疗保险,互联网,已上市,1000-9999人
海外事业部-数据分析师(J10461),北京·朝阳区·燕莎,25-30K,3-5年,本科,途家网,['数据分析'],节日福利，股票期权，带薪年假，餐补，员工旅游，定期体检，五险一金，补充医疗保险,互联网,D轮及以上,500-999人
数据分析师,北京·朝阳区·三元桥,15-25K,1-3年,硕士,貔坤量化,"['金融', '数据分析']",全勤奖，年终奖，餐补，零食下午茶，五险一金，补充医疗保险，节日福利，带薪年假，定期体检，交通补助,互联网金融,不需要融资,20-99人
数据分析师,北京·朝阳区·国贸,8-10K,1-3年,本科,赛尼尔,"['数据分析', '行业研究']",股票期权，带薪年假，年终奖，五险一金，员工旅游，补充医疗保险,咨询,未融资,20-99人
数据分析师,北京·朝阳区·酒仙桥,13-18K,3-5年,本科,自如网,"['数据分析', '经营分析', '销售数据']",带薪年假，定期体检，住房补贴，交通补助，年终奖，补充医疗保险，餐补，内购优惠，节日福利,O2,C轮,10000人以上
数据分析师,北京·朝阳区·呼家楼,15-25K,经验不限,本科,量赞网络,"['数据分析', 'R', 'C++', 'R语言']",股票期权，五险一金，带薪年假，零食下午茶,互联网,天使轮,20-99人
数据分析师,北京·朝阳区·太阳宫,25-50K,3-5年,本科,便利蜂,"['SQL', 'R', '数据分析', '聚类分析', '回归分析']",定期体检，节日福利，带薪年假,互联网,不需要融资,10000人以上
数据分析师,北京·朝阳区·大望路,20-35K,3-5年,本科,罗辑思维,"['数据分析', '用户研究', 'APP']",补充医疗保险，定期体检，节日福利，餐补，年终奖，带薪年假，五险一金,互联网,D轮及以上,100-499人
数据分析师,北京·朝阳区·望京,15-25K,经验不限,本科,云账户,"['数学/统计学专业', '数据分析']",股票期权，带薪年假，定期体检，补充医疗保险，住房补贴，五险一金，年终奖,移动互联网,C轮,500-999人
数据分析师,北京·朝阳区·国贸,15-30K,1-3年,本科,嘉实基金,"['数据分析', '数据挖掘', 'ETL']",补充医疗保险，带薪年假，通讯补贴，公司自营食堂，五险一金，免费健身房，餐补，年终奖，定期体检，节日福利，办公环境好，员工旅游,互联网金融,不需要融资,1000-9999人
数据分析师,北京·朝阳区·798,15-25K,3-5年,本科,六间房,"['BI', '数据分析']",定期体检，节日福利，免费班车，带薪年假，餐补，五险一金，零食下午茶，补充医疗保险,互联网,D轮及以上,100-499人
数据分析师,北京·朝阳区·高碑店,25-26K,1-3年,本科,中信银行,['数据分析'],定期体检，五险一金，交通补助，节日福利，员工旅游，加班补助，通讯补贴，餐补，免费班车，年终奖，补充医疗保险，带薪年假,银行,已上市,10000人以上
高级数据分析师,北京·朝阳区·望京,14-20K,3-5年,本科,壹捌零广告,"['电商', '数据分析', '商业策略']",年终奖，定期体检，带薪年假，节日福利，通讯补贴，交通补助，补充医疗保险，五险一金，员工旅游，餐补,广告营销,未融资,100-499人
数据分析师,北京·朝阳区·太阳宫,25-35K,1-3年,硕士,BOSS直聘,"['数据分析', '需求挖掘', '用户画像']",交通补助，股票期权，员工旅游，带薪年假，加班补助，五险一金，补充医疗保险，餐补，年终奖，节日福利，定期体检，住房补贴,人力资源服务,已上市,1000-9999人
数据分析师（游戏）,北京·朝阳区·中央别墅区,20-35K,在校/应届,本科,红海科技,"['数据分析', '数据挖掘', '游戏数据', 'Python', 'R']",零食下午茶，包吃，员工旅游，年终奖，免费班车，股票期权，提供宿舍，五险一金，节日福利，住房补贴,游戏,不需要融资,100-499人
高级数据分析师（北京）,北京·朝阳区·望京,15-30K,3-5年,本科,数数科技,"['数据分析', '数据产品经理', '大数据']",补充医疗保险，加班补助，定期体检，带薪年假，员工旅游，年终奖，苹果电脑办公，节日福利，企业资质，入职体检，股票期权，五险一金，零食下午茶，带薪病假，打车报销,数据服务,C轮,100-499人
数据分析师,北京·朝阳区·小营,8-12K,1-3年,本科,大地云游,"['数据分析', '战略咨询']",员工旅游，五险一金，带薪年假，年终奖,旅游,不需要融资,20-99人
数据分析师 (MJ000061),北京·朝阳区·来广营,20-35K,3-5年,本科,琥珀创想,"['Python', 'SQL', 'Excel']",带薪年假，零食下午茶，住房补贴，员工旅游，节日福利，健身房，包吃，五险一金，交通补助，补充医疗保险，定期体检，成长基金，年终奖,移动互联网,不需要融资,100-499人
数据分析师 (MJ000313),北京·朝阳区·来广营,17-25K,经验不限,本科,博乐科技,"['Java', 'Python', 'Scala', 'Tableau']",员工旅游，补充医疗保险，住房补贴，餐补，年终奖，包吃，节日福利，五险一金，带薪年假，定期体检，零食下午茶,游戏,B轮,500-999人
数据分析师,北京·朝阳区·三元桥,20-40K,1-3年,硕士,云智慧,"['Python', '数据挖掘', '数据分析', '时间序列', '日志数据']",股票期权，生日会，节日福利，零食下午茶，年终奖，补充医疗保险，定期体检，五险一金，带薪年假,企业服务,D轮及以上,1000-9999人
智能信息智能营销-高级数据分析师-北京,北京·朝阳区·望京,20-30K,1-3年,本科,阿里巴巴集团,"['商业分析', '数据分析']",免费班车，节日福利，年终奖，员工旅游，零食下午茶，交通补助，五险一金，股票期权，补充医疗保险，餐补,互联网,已上市,10000人以上
数据分析师,北京·朝阳区·三元桥,20-25K,3-5年,本科,成丰快运,"['Python', '决策树', '相关分析', 'Excel', 'Tableau']",带薪年假，员工旅游，定期体检，年终奖，加班补助，五险一金，节日福利，股票期权,交通/运输,不需要融资,100-499人
数据分析师,北京·朝阳区·望京,8-11K,1-3年,大专,小叶子音乐科技,"['Excel', 'BI', 'Python', 'SQL']",五险一金，加班补助，节日福利，包吃，年终奖，带薪年假，定期体检,在线教育,D轮及以上,500-999人
数据分析师,北京·朝阳区·高碑店,15-25K,经验不限,本科,上海鲲驰,"['Python', 'Excel', 'Pandas']",零食下午茶，带薪年假，年终奖，定期体检，餐补，免费班车，补充医疗保险，节日福利，五险一金，员工旅游，通讯补贴，交通补助,电子商务,未融资,1000-9999人
数据分析师,北京·朝阳区·建国门,6-11K,经验不限,本科,博奥麦斯,"['R', '聚类分析', 'ROC分析', '蛋白组', '代谢组']",股票期权，年终奖，节日福利，带薪年假，定期体检，五险一金，员工旅游,检测/认证,未融资,20-99人
数据分析师,北京·朝阳区·望京,20-40K,1-3年,本科,创益融,['相关分析'],零食下午茶，带薪年假，五险一金，餐补，节日福利，定期体检，年终奖,互联网,不需要融资,20-99人
数据分析师,北京·朝阳区·望京,20-40K,3-5年,本科,火花思维,['SQL'],意外险，节日福利，定期体检，带薪年假，五险一金，补充医疗保险，交通补助,在线教育,D轮及以上,1000-9999人
数据分析师,北京·朝阳区·善各庄,15-30K,5-10年,本科,美团,['SQL'],补充医疗保险，住房补贴，全勤奖，定期体检，免费班车，股票期权，加班补助，带薪年假，零食下午茶,互联网,已上市,10000人以上
数据分析师,北京·朝阳区·劲松,20-30K,3-5年,本科,墨熙科技,"['SQL', '相关分析', 'ABtest']",零食下午茶，节日福利，五险一金，补充医疗保险，加班补助，员工旅游，带薪年假，定期体检,互联网,不需要融资,100-499人
数据分析师,北京·朝阳区·望京,20-40K,1-3年,本科,猿辅导,['SQL'],员工旅游，交通补助，餐补，节日福利，五险一金，定期体检，补充医疗保险，股票期权，年终奖，零食下午茶，带薪年假，通讯补贴,在线教育,D轮及以上,10000人以上
高级数据分析师（医学数据方向）,北京·朝阳区·望京,15-25K,3-5年,硕士,医药魔方,"['医药科研', '临床研究', '数据', '临床']",定期体检，零食下午茶，节日福利，员工旅游，交通补助，五险一金，带薪年假，年终奖,数据服务,B轮,100-499人
数据分析师,北京·朝阳区·三里屯,8-16K,3-5年,硕士,新三优秀,"['数据分析', '市场调研', '行业研究']",交通补助，年终奖，餐补，补充医疗保险，定期体检，零食下午茶，加班补助，节日福利，五险一金，员工旅游，通讯补贴，带薪年假,移动互联网,C轮,20-99人
数据分析师,北京·朝阳区·国贸,13-25K,3-5年,本科,索信达,"['Python', '决策树', 'SPSS', 'SAS', '回归分析', 'Pandas']",五险一金，补充医疗保险，零食下午茶，节日福利，定期体检，餐补，年终奖，带薪年假，婚育礼金,数据服务,已上市,500-999人
数据分析师,北京·朝阳区·望京,10-15K,3-5年,本科,华信瑞德,"['相关分析', 'SQL', '多元统计分析', '回归分析', '决策树']",五险一金，定期体检，节日福利，通讯补贴，年终奖，餐补，带薪年假,互联网,未融资,20-99人
数据分析师,北京·朝阳区·广渠门,8-9K,经验不限,本科,海道教育,"['Excel', 'Hive', 'SPSS', 'SAS', 'Tableau', 'R']",节日福利，年终奖，带薪年假，零食下午茶，五险一金，加班补助，补充医疗保险，股票期权，定期体检,在线教育,A轮,100-499人
数据分析师,北京·朝阳区·望京,25-30K,5-10年,本科,圣承方略,"['SQL', 'Excel', 'Power BI', '决策树', '回归分析']",交通补助，员工旅游，年终奖，通讯补贴，零食下午茶，带薪年假，餐补，五险一金，节日福利，全勤奖,咨询,不需要融资,100-499人
数据分析师,北京·朝阳区·望京,15-25K,3-5年,本科,马上消费金融,"['SQL', 'Python', 'Hadoop']",交通补助，股票期权，五险一金，员工旅游，定期体检，补充医疗保险，加班补助，带薪年假，节日福利，餐补,互联网金融,不需要融资,1000-9999人
数据分析师,北京·朝阳区·望京,25-40K,3-5年,本科,陌陌,"['SQL', 'HQL']",五险一金，年终奖，零食下午茶，补充医疗保险，交通补助，节日福利，餐补，定期体检,移动互联网,已上市,1000-9999人
数据分析师,北京·朝阳区·来广营,11-16K,经验不限,本科,质心教育科技,"['SQL', '相关分析', 'Excel', 'Tableau', '多元统计分析']",员工旅游，五险一金，节日福利，交通补助，定期体检，年终奖，带薪年假,在线教育,A轮,100-499人
数据分析师,北京·朝阳区·三元桥,11-22K,3-5年,本科,国美信科技投资有...,['用户增长'],五险一金，带薪年假，年终奖，定期体检，节日福利,互联网金融,不需要融资,1000-9999人
高级数据分析师,北京·朝阳区·立水桥,20-30K,3-5年,本科,龙图游戏,"['SQL', 'Power BI']",零食下午茶，带薪年假，加班补助，五险一金，全勤奖，年终奖，员工旅游，餐补，定期体检，补充医疗保险，节日福利,游戏,D轮及以上,1000-9999人
商分分析经理/高级数据分析师,北京·朝阳区·望京,25-50K,3-5年,本科,北京新氧万维,"['SQL', 'Python', 'Excel']",免费班车，补充医疗保险，定期体检，体检，节日福利，五险一金，股票期权，带薪年假，年终奖，加班补助，员工旅游，餐补,互联网,已上市,1000-9999人
数据分析师,北京·朝阳区·亚运村,10-15K,在校/应届,本科,瑞幸咖啡,"['Python', 'Excel', 'Tableau', 'Pandas', 'Matplotlib']",员工旅游，年终奖，带薪年假，员工饮，五险一金，股票期权，交通补助，节日福利，通讯补贴，餐补,互联网,已上市,10000人以上
斑马-商业分析师/数据分析师,北京·朝阳区·花家地,20-40K,经验不限,本科,猿辅导,"['Python', 'SQL', '回归分析', '因子分析', '聚类分析']",五险一金，餐补，零食下午茶，股票期权，补充医疗保险，节日福利，带薪年假，定期体检，年终奖,在线教育,D轮及以上,1000-9999人
数据分析师,北京·朝阳区·朝外,7-10K,经验不限,本科,美兰德传播咨询,['SQL'],餐补，学习深造，定期体检，年终奖，补充医疗保险，带薪年假，节日福利，通讯补贴，员工旅游，交通补助，零食下午茶，加班补助，五险一金,文化/体育/娱乐,不需要融资,20-99人
