岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
高级数据挖掘工程师,深圳·龙华区·民治,30-50K,5-10年,本科,船奇,"['数据挖掘', '数据分析', 'ETL', 'Java', 'Python', 'Kafka']",全勤奖，定期体检，年终奖，带薪年假，五险一金，员工旅游，零食下午茶，节日福利,互联网,A轮,500-999人
亚马逊选品和市场分析,深圳·龙华区·民治,6-9K,经验不限,大专,众远电子,"['数据产品', '数据分析', '亚马逊', '跨境电商', '选品']",员工旅游，五险一金，加班补助，年终奖，节日福利，带薪年假，零食下午茶，补充医疗保险，住房补贴,电子商务,不需要融资,20-99人
美团招聘物流运营,深圳·龙华区·民治,11-13K,1-3年,大专,美团,"['企业内部物流部门', '物流配送', '周末双休', '运营管理']",补充医疗保险，全勤奖，年终奖，交通补助，五险一金，加班补助，带薪年假，定期体检,互联网,已上市,10000人以上
亚马逊产品开发助理,深圳·龙华区·龙华,5-8K,经验不限,大专,精视野科技,"['数据产品', '平台产品', '数据分析']",五险一金，补充医疗保险，员工旅游，年终奖，节日福利，餐补,电子商务,未融资,0-20人
产品开发专员,深圳·龙华区·龙华,13-20K,3-5年,大专,神来一笔,"['数据产品', '市场调研', '数据分析']",五险一金，年终奖，住房补贴，员工旅游，带薪年假，股票期权，全勤奖，零食下午茶，节日福利,电子商务,未融资,100-499人
选品专员,深圳·龙华区·龙华,6-8K,经验不限,大专,梨檬,"['数据分析', '海外产品', '英语', '跨境电商', '亚马逊选品']",节日福利，零食下午茶，带薪年假,电子商务,未融资,20-99人
Amazon销售/亚马逊运营（入职购买社保）,深圳·龙华区·龙华,8-13K,1-3年,大专,博瑞源,"['跨境电商运营', '亚马逊运营', 'B2C跨境电商', '运营专员']",零食下午茶，员工旅游，节日福利，社保福利，全勤奖,电子商务,未融资,20-99人
产品主管,深圳·龙华区·龙华,15-20K,1-3年,大专,佳品源,"['产品设计', '市场调研', '数据分析', '化妆品', '护肤品']",年终奖，零食下午茶，全勤奖，员工旅游，带薪年假，节日福利，五险一金,电子商务,不需要融资,100-499人
亚马逊产品开发/跨境电商产品专员,深圳·龙华区·民治,8-13K,1-3年,本科,环球一百,"['产品开发', '市场调研', '数据分析', '需求分析', '电商产品']",节日福利，零食下午茶，年终奖，五险一金，带薪年假，员工旅游,电子商务,不需要融资,20-99人
产品开发 亚马逊欧美精品,深圳·龙华区·龙华,8-12K,1-3年,学历不限,新妤恒,"['数据分析', '数据产品', '平台产品', '跨境电商', '海外产品']",年终奖，五险一金，股票期权，零食下午茶，加班补助，带薪年假，员工旅游,电子商务,未融资,20-99人
亚马逊产品开发(精品),深圳·龙华区·民治,10-15K,1-3年,本科,果核动力,"['电商产品', '产品价格管理', '市场调研', '产品设计']",零食下午茶，生日会，员工旅游，带薪年假，定期体检，年终奖，五险一金，节日福利,电子商务,不需要融资,20-99人
玩具类目产品开发,深圳·龙华区·龙华,9-14K,3-5年,大专,奥拓德,"['市场调研', '数据分析', '产品开发', '玩具类目', '玩具']",五险一金，带薪年假，年终奖，全勤奖，零食下午茶，员工旅游,贸易/进出口,未融资,20-99人
亚马逊产品开发（精品）,深圳·龙华区·龙华,15-30K,1年以内,大专,博瑞源,"['数据产品', '市场调研', '数据分析']",全勤奖，员工旅游，社保福利，零食下午茶，节日福利,电子商务,未融资,20-99人
外贸运营 外贸专员 电商销售（英语四级）,深圳·龙华区·龙华,6-11K,经验不限,本科,宝视佳科技,"['网店店长', 'B2C跨境电商', '销售运营', '英语', '数据分析']",女生假，零食下午茶，加班补助，带薪年假，节日福利,电子商务,不需要融资,1000-9999人
亚马逊产品经理,深圳·龙华区·龙华,12-20K,1-3年,本科,新妤恒,"['跨境电商', '产品经理', '市场调研', '数据分析', '供应链']",年终奖，零食下午茶，加班补助，员工旅游，带薪年假，股票期权，五险一金,电子商务,未融资,20-99人
亚马逊产品开发,深圳·龙华区·龙华,9-14K,1-3年,大专,博瑞源,"['数据产品', '平台产品', '市场调研', '数据分析']",零食下午茶，节日福利，社保福利，全勤奖，员工旅游,电子商务,未融资,20-99人
亚马逊运营 应届生可实习（带薪培训）,深圳·龙华区·龙华,7-10K,经验不限,本科,宝视佳科技,"['网店店长', 'B2C跨境电商', '数据分析', '亚马逊运营']",女生假，加班补助，节日福利，带薪年假，零食下午茶,电子商务,不需要融资,1000-9999人
亚马逊产品经理,深圳·龙华区·龙华,15-25K,1-3年,本科,山海云广,"['数据产品', '市场调研', '数据分析', '跨境电商']",定期体检，零食下午茶，全勤奖，股票期权，节日福利，员工旅游，带薪年假，五险一金，年终奖,电子商务,不需要融资,100-499人
亚马逊高级运营,深圳·龙华区·民治,10-15K,1-3年,本科,果核动力,"['跨境电商运营', '亚马逊运营', 'B2C跨境电商', '运营专员']",定期体检，带薪年假，生日会，员工旅游，节日福利，五险一金，年终奖，零食下午茶,电子商务,不需要融资,20-99人
产品开发,深圳·龙华区·龙华,10-14K,3-5年,大专,奥拓德,"['市场调研', '数据分析', '数据产品', '电商产品', '产品']",带薪年假，员工旅游，全勤奖，年终奖，零食下午茶，五险一金,贸易/进出口,未融资,20-99人
数据管理员,深圳·罗湖区·国贸,5-9K,1-3年,大专,智慧财务,['数据管理'],五险一金,财务/审计/税务,未融资,20-99人
产品经理,深圳·罗湖区·笋岗,15-20K,3-5年,本科,天方达健信,"['产品设计', '市场调研', '需求分析', '用户研究', '数据分析']",年终奖，股票期权，全勤奖，五险一金，通讯补贴，交通补助，节日福利,医疗健康,B轮,100-499人
评级研究员,深圳·罗湖区·东门,8-13K,经验不限,硕士,21世纪,"['市场调研', '用户研究', '数据分析']",餐补，带薪年假，住房补贴，五险一金，交通补助，加班补助，节日福利，年终奖，全勤奖，定期体检，补充医疗保险，通讯补贴,新闻/出版,不需要融资,100-499人
亚马逊选品,深圳·罗湖区·泥岗,10-15K,1-3年,大专,创辉氢科技,"['市场调研', '数据分析', '产品价格管理', '电商产品']",全勤奖，零食下午茶，加班补助，员工旅游，交通补助，餐补，年终奖，带薪年假，节日福利，五险一金,医疗健康,未融资,20-99人
商品管理专员（门店管理方向）,深圳·罗湖区·万象城,7-10K,3-5年,本科,博士眼镜,"['数据分析', '供应链产品', 'C端产品', 'TO C']",加班补助，节日福利，带薪年假，全勤奖，五险一金，股票期权，员工旅游,珠宝/首饰,已上市,1000-9999人
产品经理,深圳·罗湖区·万象城,15-25K,3-5年,本科,康美集势,"['产品设计', '需求分析', '产品规划', '项目管理', '数据分析']",免费班车，学历提升福利，子女教育津贴，子女游学福利，双亲游，员工旅游，零食下午茶，父母赡养基金，高考带薪假，带薪年假，人才梯队建设，家属支持奖，节日福利，五险一金,互联网,未融资,100-499人
珠宝产品专员,深圳·罗湖区·翠竹,5-7K,1-3年,大专,港至尊,"['市场调研', '数据分析']",五险一金,互联网,不需要融资,20-99人
卖场运营主管,深圳·罗湖区·洪湖,10-15K,经验不限,本科,拼多多,"['商品策略', '生鲜', '食品/饮料/烟酒', '营销活动', '选品']",带薪年假，五险一金，股票期权，年终奖，包吃，节日福利，交通补助，定期体检,移动互联网,已上市,1000-9999人
产品经理,深圳·罗湖区·东门,10-15K,3-5年,本科,新视维文化传媒,"['产品设计', '产品规划', '产品运营', '数据分析']",五险一金，年终奖，全勤奖，加班补助,广告营销,未融资,20-99人
谷歌SEO,深圳·罗湖区·笋岗,12-18K,1-3年,本科,Agilewing,"['流量优化', '数据分析', '谷歌分析', 'SEM', '网站优化']",定期体检，零食下午茶，培训学习，补充医疗保险，节日福利，交通补助，带薪年假，五险一金，年终奖,计算机软件,未融资,100-499人
产品经理,深圳·罗湖区·国贸,12-18K,3-5年,本科,深圳科蓝金信,"['市场调研', '数据分析']",加班补助，节日福利，五险一金，定期体检，零食下午茶，带薪年假，补充医疗保险，餐补，出差补贴,移动互联网,不需要融资,1000-9999人
资深珠宝研发设计师,深圳·罗湖区·水贝,15-25K,5-10年,本科,MCLON曼卡龙珠宝,"['市场调研', '数据分析']",高温补贴，节日福利，加班补助，五险一金，带薪年假,生活服务,已上市,100-499人
管培生,深圳·罗湖区·水贝,4-5K,在校/应届,大专,业臻钻石,['数据分析'],带薪年假，加班补助，员工旅游，年终奖，全勤奖，餐补，零食下午茶，节日福利,批发/零售,未融资,20-99人
素金产品专员,深圳·罗湖区·水贝,6-8K,1-3年,大专,周六福珠宝,"['需求分析', '产品运营', '数据分析']",年终奖，节日福利，包吃，带薪年假，加班补助，定期体检，五险一金，员工旅游，交通补助，全勤奖，住房补贴,生活服务,未融资,500-999人
大数据开发工程师,深圳·罗湖区·万象城,14-20K,3-5年,本科,维恩贝特,"['Python', 'Shell', 'HIVE']",节日福利，定期体检，带薪年假，五险一金，免费班车，住房补贴，员工旅游，年终奖,计算机软件,不需要融资,500-999人
亚马逊开发,深圳·罗湖区·国贸,6-8K,1年以内,学历不限,舍图时尚用品,"['产品运营', '跨境电商', '数据分析', '市场调研', '电商产品']",零食下午茶，加班补助，员工旅游，年终奖，带薪年假，节日福利，五险一金,贸易/进出口,未融资,20-99人
系统实施专员,深圳·罗湖区·水贝,7-10K,3-5年,大专,百泰集团,"['软件实施', '软件推行', '流程规划', '项目管理', '数据分析']",全勤奖，包吃，员工旅游，节日福利，年终奖，带薪年假，五险一金，免费班车，补充医疗保险,其他行业,未融资,1000-9999人
高级产品经理,深圳·罗湖区·国贸,18-28K,5-10年,大专,康美集势,"['产品设计', '需求分析', '产品规划', '项目管理', '数据分析']",零食下午茶，双亲游，员工旅游，子女游学福利，带薪年假，人才梯队建设，高考带薪假，五险一金，子女教育津贴，学历提升福利，父母赡养基金，免费班车，节日福利，家属支持奖,互联网,未融资,100-499人
亚马逊运营欧洲站,深圳·光明区·光明,7-12K,1-3年,本科,天惠丰,"['亚马逊运营', '跨境电商运营', '选品采购', 'B2C跨境电商']",五险一金，带薪年假，年终奖，节日福利，员工旅游，零食下午茶，定期体检,电子商务,不需要融资,20-99人
智能广告终端产品经理,深圳·光明区·圳美,6-11K,3-5年,本科,JLOO,"['数据分析', '项目管理', 'O2O']",带薪年假，补充医疗保险，通讯补贴，年终奖，员工旅游，节日福利，交通补助，加班补助，定期体检，五险一金，餐补，全勤奖,智能硬件,未融资,20-99人
电商运营,深圳·光明区·公明,5-10K,1-3年,高中,彩兴科技,"['店铺推广', '淘宝天猫运营', '店铺运营', '国内运营']",带薪年假，通讯补贴，年终奖，餐补，五险一金，节日福利，全勤奖,广告/公关/会展,未融资,20-99人
Lazada/速卖通运营助理,深圳·光明区·公明,6-10K,1年以内,大专,胜美优,"['运营专员', '电商运营', '跨境电商运营', '英语']",带薪年假，年终奖，员工旅游，全勤奖，住房补贴，节日福利，零食下午茶，五险一金,电子商务,天使轮,100-499人
跨境电商运营专员,深圳·光明区·公明,6-10K,1-3年,大专,联佑光电,"['英语可作为工作语言', '视频拍摄经验', '跨境店铺运营']",年终奖，员工旅游，补充医疗保险，零食下午茶，包住，带薪年假，节日福利,其他行业,未融资,20-99人
客户经理（阿里巴巴国际站+五险一金+双休）,深圳·光明区·公明,10-15K,经验不限,大专,深圳艾比利企业服务,"['五险一金', '交通补助', '年终奖', '绩效奖金']",员工旅游，定期体检，五险一金，带薪年假，零食下午茶，节日福利，交通补助，年终奖，住房补贴,电子商务,不需要融资,100-499人
项目主管,深圳·光明区·公明,9-14K,3-5年,高中,小九科技,"['售前支持', '售后支持', '需求采集', '需求分析评估']",五险一金，加班补助，员工旅游，零食下午茶，全勤奖，年终奖,贸易/进出口,未融资,20-99人
石墨烯工程师（导电、导热浆料）,深圳·光明区·光明,10-15K,1-3年,本科,友联亨达,['材料研发'],活动丰富，零食下午茶，工作地双城选，节日福利，带薪年假，年终奖，员工旅游，五险一金,计算机硬件,未融资,100-499人
电子工程师,深圳·光明区·公明,11-18K,1-3年,大专,安康源科技,"['PCB设计', '示波器', '万用表', '烙铁', '仿真器']",员工旅游，加班补助，五险一金，节日福利，带薪年假，年终奖，年终奖，全勤奖，零食下午茶,医疗健康,未融资,20-99人
外贸销售总监,深圳·光明区·公明,15-30K,5-10年,本科,华芯,"['英语可作为工作语言', '外贸工作经验', '日韩市场']",餐补，定期体检，补充医疗保险，零食下午茶，加班补助，节日福利，通讯补贴，年终奖，五险一金，住房补贴，全勤奖，员工旅游，带薪年假,家具/家电/家居,未融资,100-499人
用户研究分析师（UXR方向）,深圳·光明区·公明,10-15K,1-3年,本科,科曼医疗,"['交互体验设计', '问卷调查', '深度访谈', '电话调查']",带薪年假，员工旅游，补充医疗保险，年终奖，加班补助，五险一金，全勤奖，节日福利,医疗健康,不需要融资,1000-9999人
PLM业务分析师,深圳·光明区·光明,25-30K,5-10年,本科,格创东智,['PLM'],节日福利，餐补，定期体检，年终奖，带薪年假，通讯补贴，五险一金，加班补助，交通补助，零食下午茶,计算机服务,不需要融资,1000-9999人
算法工程师,深圳·光明区·光明,15-30K,3-5年,硕士,帝迈生物,"['C++', '算法设计', '数据分析']",节日福利，员工旅游，免息贷款，免费班车，通讯补贴，年终奖，带薪年假，定期体检，加班补助，五险一金，餐补,医疗健康,B轮,500-999人
产品经理,深圳·光明区·公明,15-25K,3-5年,大专,微思机器人,"['市场调研', '数据分析', '用户体验', '洗地机器人']",年终奖，股票期权，五险一金，带薪年假，员工旅游，零食下午茶，节日福利,智能硬件,天使轮,100-499人
产品经理（商显）,深圳·光明区·光明,15-28K,5-10年,本科,TCL华星,"['数据产品', '策略产品', '产品规划', '数据分析']",补充医疗保险，包吃，股票期权，五险一金，加班补助，年终奖，餐补，定期体检，带薪年假，员工旅游，免费班车，节日福利，员工宿舍,电子/半导体/集成电路,不需要融资,10000人以上
商品专员（包吃）,深圳·光明区·公明,5-6K,1-3年,学历不限,铄涵服饰,"['数据分析', '需求分析']",五险一金，零食下午茶，住房补贴，年终奖，节日福利，员工旅游，带薪年假，股票期权，全勤奖，定期体检,服装/纺织/皮革,未融资,100-499人
市场分析经理,深圳·光明区·公明,18-25K,3-5年,本科,真味生物,"['用户调研', '市场研究']",零食下午茶，节日福利，加班补助，五险一金，补充医疗保险，年终奖，全勤奖，定期体检，员工旅游，带薪年假，生日会,贸易/进出口,A轮,100-499人
电堆失效分析工程师,深圳·光明区·光明,11-20K,经验不限,本科,潮州三环,"['电池材料', '失效分析', '衰减机理分析', '陶瓷', '玻璃']",五险一金，免费班车，加班补助，节日福利，免费员工公寓，员工食堂，餐补，零食下午茶，年终奖,电子/半导体/集成电路,已上市,10000人以上
结构工程师（数据中心）,深圳·光明区·公明,9-14K,1-3年,本科,英威腾,['CAD'],零食下午茶，五险一金，节日福利，餐补，年终奖，员工旅游，带薪年假，定期体检，通勤班车,其他行业,已上市,100-499人
血液细胞图像算法工程师,深圳·光明区·公明,20-30K,经验不限,硕士,迈瑞医疗,"['算法设计', '深度学习算法', 'Python', 'C++', '数据挖掘']",加班补助，交通补助，住房补贴，带薪年假，年终奖，定期体检，餐补，节日福利，补充医疗保险，五险一金，员工旅游，免费班车,医疗设备/器械,已上市,10000人以上
电解液研发分析工程师,深圳·光明区·光明,8-12K,1-3年,本科,澳睿新能源,"['性能测试', '功能测试']",五险一金,新能源,未融资,20-99人
初级数据库开发工程师(MDW/EDA),深圳·光明区·公明,6-8K,1-3年,本科,亚摩信息,"['SQL', 'Oracle', 'Unix']",五险一金，加班补助，带薪年假，免费班车，年终奖，补充医疗保险,互联网,未融资,100-499人
硬件产品经理,深圳·光明区·圳美,15-20K,3-5年,本科,中智卫安机器人,"['智能硬件产品', '需求分析', '产品/版本迭代']",带薪年假，零食下午茶，年终奖，餐补，全勤奖，节日福利，通讯补贴，五险一金,智能硬件,B轮,1000-9999人
UR招聘卖场经理,深圳·光明区·光明,6-8K,1-3年,大专,UR,"['五险', '意外险', '全勤奖', '年终奖', '绩效奖金']",加班补助，零食下午茶，带薪年假，年终奖，员工旅游，五险一金，定期体检，全勤奖，免费班车，节日福利，补充医疗保险,服装/纺织/皮革,B轮,1000-9999人
